"id","canton_id:id","code","name"
"__export__.ote_parroquia_080161",,"080161","Río Verde"
"__export__.ote_parroquia_080162",,"080162","Rocafuerte"
"__export__.ote_parroquia_080163",,"080163","San Mateo"
"__export__.ote_parroquia_080164",,"080164","Súa (Cab. en La Bocana)"
"__export__.ote_parroquia_080165",,"080165","Tabiazo"
"__export__.ote_parroquia_080166",,"080166","Tachina"
"__export__.ote_parroquia_080167",,"080167","Tonchigüe"
"__export__.ote_parroquia_080168",,"080168","Vuelta Larga"
"__export__.ote_parroquia_080250",,"080250","Valdez (Limones)"
"__export__.ote_parroquia_080251",,"080251","Anchayacu"
"__export__.ote_parroquia_080252",,"080252","Atahualpa (Cab. en Camarones) "
"__export__.ote_parroquia_080253",,"080253","Borbón"
"__export__.ote_parroquia_080254",,"080254","La Tola"
"__export__.ote_parroquia_080255",,"080255","Luis Vargas Torres (Cab. en Playa de Oro)"
"__export__.ote_parroquia_080256",,"080256","Maldonado"
"__export__.ote_parroquia_080257",,"080257","Pampanal de Bolívar   "
